date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:30	8580/8580	---MCZ	200	added ('OK')	text/html	etag:W/%222184-957kBFu5tHdvxVNZISoOKVgBJhM%22	https://playentry.org/	C:/archive/httrack/playentry/playentry.org/index.html	(from )
23:27:31	9275/9275	---MCZ	200	added ('OK')	text/html	etag:W/%22243b-WEFpkRlajZ/lDE4pj4VeOw5nB9E%22	https://playentry.org/tt	C:/archive/httrack/playentry/playentry.org/tt.html	(from )
23:27:35	9278/9278	---MCZ	200	added ('OK')	text/html	etag:W/%22243e-fV8WXQKGCsX5h8u4RVbj/2C3fSI%22	https://playentry.org/study/basic/textbook	C:/archive/httrack/playentry/playentry.org/study/basic/textbook.html	(from )
23:27:35	11264/11264	---MCZ	200	added ('OK')	text/html	etag:W/%222c00-Warp8i03VgMu9WUCvUyemqY5Jzc%22	https://playentry.org/ws	C:/archive/httrack/playentry/playentry.org/ws.html	(from )
23:27:35	9118/9118	---MCZ	200	added ('OK')	text/html	etag:W/%22239e-h49xWwIpalRo1A64NfIgHQnq/Z0%22	https://playentry.org/all	C:/archive/httrack/playentry/playentry.org/all.html	(from )
23:27:36	7222/7222	---MCZ	200	added ('OK')	text/html	etag:W/%221c36-g3i4KAx0XRjGyU93eGfe8ulN6YQ%22	https://playentry.org/ds	C:/archive/httrack/playentry/playentry.org/ds.html	(from )
23:27:36	9179/9179	---MCZ	200	added ('OK')	text/html	etag:W/%2223db-hP2Aj1om+W4UhojCclw8ucx7P98%22	https://playentry.org/entry	C:/archive/httrack/playentry/playentry.org/entry.html	(from )
23:27:36	9178/9178	---MCZ	200	added ('OK')	text/html	etag:W/%2223da-Qt++Krnx9T7P8bF8/1IxUC4aOxc%22	https://playentry.org/dark	C:/archive/httrack/playentry/playentry.org/dark.html	(from )
23:27:36	9180/9180	---MCZ	200	added ('OK')	text/html	etag:W/%2223dc-a1mYclqYmaMenYng5PE9e0nzXZ4%22	https://playentry.org/abbbbb	C:/archive/httrack/playentry/playentry.org/abbbbb.html	(from )
23:27:43	9863/9863	---MCZ	200	added ('OK')	text/html	etag:W/%222687-0qWLqujQMgalfSnqGsvT1nPZwKg%22	https://playentry.org/entry/5c861af7c056ec41de2425df?returnUrl=https%3A%2F%2Fplayentry.org%2Fentry%23!%2Fmy_project%3Fsort%3Dupdated%26rows%3D15%26page%3D1%26tab%3Dmy_project%26type%3Dproject	C:/archive/httrack/playentry/playentry.org/entry/5c861af7c056ec41de2425df180b.html	(from )
23:27:44	23/23	---M--	200	added ('OK')	text/plain	etag:W/%2217-177dc1cf7f0%22	https://playentry.org/robots.txt		(from )
23:27:44	79657/79657	---MCZ	200	added ('OK')	image/png	etag:W/%2213729-177dc1cf408%22	https://playentry.org/img/assets/og-entry-image.png	C:/archive/httrack/playentry/playentry.org/img/assets/og-entry-image.png	(from https://playentry.org/)
